batting_team,bowling_team,overs,current_score,wickets,runs_last5,wickets_last5,final_score
Delhi Capitals,Kolkata Knight Riders,17,126,7,51,0,142
Gujarat Titans,Royal Challengers Bangalore,16,129,2,64,1,153
Punjab Kings,Royal Challengers Bangalore,18,119,5,45,0,124
Delhi Capitals,Gujarat Titans,18,140,4,51,0,146
Punjab Kings,Mumbai Indians,16,103,0,67,0,143
Sunrisers Hyderabad,Royal Challengers Bangalore,16,143,0,50,0,196
Royal Challengers Bangalore,Punjab Kings,5,36,1,41,0,174
Rajasthan Royals,Kolkata Knight Riders,18,159,2,49,1,168
Gujarat Titans,Punjab Kings,19,105,5,52,0,110
Mumbai Indians,Chennai Super Kings,7,59,2,45,2,175
Mumbai Indians,Gujarat Titans,16,134,2,32,1,173
Lucknow Super Giants,Gujarat Titans,6,69,1,47,1,209
Royal Challengers Bangalore,Sunrisers Hyderabad,12,112,2,36,0,185
Kolkata Knight Riders,Mumbai Indians,8,54,0,49,0,125
Rajasthan Royals,Delhi Capitals,17,140,0,49,0,165
Sunrisers Hyderabad,Delhi Capitals,7,71,1,34,1,188
Gujarat Titans,Chennai Super Kings,14,140,0,64,0,249
Royal Challengers Bangalore,Punjab Kings,19,120,4,28,0,125
Mumbai Indians,Lucknow Super Giants,9,76,2,55,0,175
Gujarat Titans,Sunrisers Hyderabad,14,137,4,53,1,208
Rajasthan Royals,Punjab Kings,7,62,0,45,0,145
Sunrisers Hyderabad,Kolkata Knight Riders,6,36,0,75,0,117
Royal Challengers Bangalore,Rajasthan Royals,16,146,1,23,0,194
Punjab Kings,Kolkata Knight Riders,13,108,0,60,0,171
Delhi Capitals,Gujarat Titans,7,65,1,41,1,165
Royal Challengers Bangalore,Gujarat Titans,8,78,1,44,1,184
Mumbai Indians,Delhi Capitals,11,72,2,40,1,145
Kolkata Knight Riders,Sunrisers Hyderabad,10,96,0,33,0,198
Royal Challengers Bangalore,Gujarat Titans,19,133,6,69,1,138
Mumbai Indians,Rajasthan Royals,10,86,3,51,0,172
Rajasthan Royals,Mumbai Indians,13,102,1,74,1,168
Mumbai Indians,Rajasthan Royals,14,123,1,37,1,178
Mumbai Indians,Kolkata Knight Riders,17,134,3,56,1,165
Lucknow Super Giants,Mumbai Indians,19,144,3,30,0,149
Chennai Super Kings,Sunrisers Hyderabad,13,128,0,49,0,194
Lucknow Super Giants,Delhi Capitals,11,86,0,66,0,167
Chennai Super Kings,Delhi Capitals,9,80,1,40,1,166
Punjab Kings,Rajasthan Royals,18,142,4,57,1,163
Royal Challengers Bangalore,Kolkata Knight Riders,19,147,0,36,0,186
Rajasthan Royals,Chennai Super Kings,19,154,2,43,0,165
Delhi Capitals,Kolkata Knight Riders,18,120,0,61,0,139
Punjab Kings,Royal Challengers Bangalore,17,131,2,22,1,161
Royal Challengers Bangalore,Mumbai Indians,10,73,0,50,0,140
Royal Challengers Bangalore,Kolkata Knight Riders,5,44,0,34,0,172
Gujarat Titans,Lucknow Super Giants,6,45,0,73,0,175
